codigo,familia,proveedor,contenido_peso,contenido_cantidad,detalle,fecha_actualizacion_costo,costo_usd,costo_ars,costo_unitario_ars,color_origen
395ET,ETIQUETA,DARACT,,1,ETIQUETA FRENTE SANITIZANTE PAZ 200ML,2024-01-26,,90.55,90.55,AMARILLO
395ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE PAZ 200ML,2024-01-26,,71.15,71.15,AMARILLO
396ET,ETIQUETA,DARACT,,1,ETIQUETA FRENTE SANITIZANTE PAZ 125ML,2024-01-26,,71.15,71.15,AMARILLO
396ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE PAZ 125ML,2024-01-26,,71.15,71.15,AMARILLO
400ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE AMOR REP 200ML,2024-01-26,,71.15,71.15,AMARILLO
401ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE AIRE REP 200ML,2024-01-26,,71.15,71.15,AMARILLO
402ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE PAZ  REP 200ML,2024-01-26,,71.15,71.15,AMARILLO
138CL1,ALCOHOL,ADECO LAB,1,1,CLEANSER ALCOHOL DE CEREAL,2025-11-10,,1750,1750,VERDE
138CL2,ALCOHOL,LADCO LAB,1,1,CLEANSER ALCOHOL ISOPROPILICO,2025-11-10,3.6,5310,5310,VERDE
138ET,ETIQUETA,ELGART,1,15,ETIQUETA CLARIFICADOR CLEANSER,,3.72,2752.8,183.52,AMARILLO
139ENV,ENVASE,PLASTICOS VG,,1,ENVASE GOTERO PARA ACRILICOS,2025-02-06,,109,109,ROJO
139ENVA,ENVASE,CARELLI,,1,ENVASE GOTERO PARA ACRILICOS GRANDE,2025-02-06,,109,109,ROJO
139CAJ,CAJA,DILENE,,1,CAJA TRANSPARENTE DE 12 ACRILICOS,2025-02-13,,1322,1322,ROJO
140CAJ,CAJA,DILENE,,1,CAJA TRANSPARENTE DE 27 ACRILICOS,2024-12-23,,2010,2010,ROJO
139AC01,ACRILICO,DIBU,0.06,1,10 BLANCO,2024-12-01,,840.56,840.56,VERDE
139AC02,ACRILICO,DIBU,0.06,1,26 PIEL,2024-12-01,,840.56,840.56,VERDE
139AC03,ACRILICO,DIBU,0.06,1,200 NEGRO,2024-12-01,,840.56,840.56,VERDE
139AC04,ACRILICO,DIBU,0.06,1,131 VERDE CADMIO,2024-12-01,,840.56,840.56,VERDE
139AC05,ACRILICO,DIBU,0.06,1,212 ORO IMPERIO,2024-12-01,,840.56,840.56,VERDE
139AC06,ACRILICO,DIBU,0.06,1,111 CHOCOLATE,2024-12-01,,840.56,840.56,VERDE
139AC07,ACRILICO,DIBU,0.06,1,86 MAGENTA,2024-12-01,,840.56,840.56,VERDE
139AC08,ACRILICO,DIBU,0.06,1,43 AMARILLO CADMIO,2024-12-01,,840.56,840.56,VERDE
139AC09,ACRILICO,DIBU,0.06,1,163 AZUL UNIFORME,2024-12-01,,840.56,840.56,VERDE
139AC10,ACRILICO,DIBU,0.06,1,80 ROJO AD,2024-12-01,,840.56,840.56,VERDE
139AC11,ACRILICO,DIBU,0.06,1,226 PLATA,2024-12-01,,840.56,840.56,VERDE
139AC12,ACRILICO,DIBU,0.06,1,222 BLANCO PERLADO,2024-12-01,,840.56,840.56,VERDE
140AC13,ACRILICO,DIBU,0.06,1,264 VERDE FLUOR,2024-12-01,,840.56,840.56,VERDE
140AC14,ACRILICO,DIBU,0.06,1,220 COBRE,2024-12-01,,840.56,840.56,VERDE
140AC15,ACRILICO,DIBU,0.06,1,29 ROSA PALIDO,2024-12-01,,840.56,840.56,VERDE
140AC16,ACRILICO,DIBU,0.06,1,149 TUQUESA,2024-12-01,,840.56,840.56,VERDE
140AC17,ACRILICO,DIBU,0.06,1,123 VERDE BEBE,2024-12-01,,840.56,840.56,VERDE
140AC18,ACRILICO,DIBU,0.06,1,174 LAVANDA,2024-12-01,,840.56,840.56,VERDE
140AC19,ACRILICO,DIBU,0.06,1,265 ROJO FLUOR,2024-12-01,,840.56,840.56,VERDE
140AC20,ACRILICO,DIBU,0.06,1,183 GRIS TOPO,2024-12-01,,840.56,840.56,VERDE
140AC21,ACRILICO,DIBU,0.06,1,114 SIENA NATURAL,2024-12-01,,840.56,840.56,VERDE
140AC22,ACRILICO,DIBU,0.06,1,134 VERDE OXIDO CROMO,2024-12-01,,840.56,840.56,VERDE
140AC23,ACRILICO,DIBU,0.06,1,88 ROJO OXIDO,2024-12-01,,840.56,840.56,VERDE
140AC24,ACRILICO,DIBU,0.06,1,30 ROSA CHICLE,2024-12-01,,840.56,840.56,VERDE
140AC25,ACRILICO,DIBU,0.06,1,261 AMARILLO FLUOR,2024-12-01,,840.56,840.56,VERDE
140AC26,ACRILICO,DIBU,0.06,1,169 ULTRAMAR PROFUNDO,2024-12-01,,840.56,840.56,VERDE
140AC27,ACRILICO,DIBU,0.06,1,214 ORO ANTIGUO,2024-12-01,,840.56,840.56,VERDE
139ETE,ETIQUETA,ELGART,1,110,ETIQUETA ENVASE DE ACRILICO,,3.72,2752.8,25.025454545454547,AMARILLO
139ET,ETIQUETA,ELGART,1,22,ETIQUETA CAJA x 12 ACRILICO,,3.72,2752.8,125.12727272727274,AMARILLO
140ET,ETIQUETA,ELGART,1,22,ETIQUETA CAJA x 27 ACRILICO,,3.72,2752.8,125.12727272727274,AMARILLO
142PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO I  negro,,,1208,1208,VERDE
143PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO II blanco,,,,,VERDE
144PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO III rosa,,,,,VERDE
145PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO IV celeste,,,,,VERDE
146PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO V cobre,,,,,VERDE
147PIG,PIGMENTO,DONGGUAN,1,1,PIGMENTO VI turquesa,,,92725.3905007408,92725.3905007408,VERDE
148PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO VII rosa oscuro,,,40632,40632,VERDE
149PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO VIII azul,,,,,VERDE
150PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO IX bronce oscuro,,,,,VERDE
151PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO X rosa neon,,,,,VERDE
152PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XI verde neon,2022-04-19,,98431.27866518525,98431.27866518525,VERDE
153PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XII naranja neon,2021-10-22,,3666.25,3666.25,VERDE
154PIG,PIGMENTO,CALVANO,1,1,PIGMENTO XIII magenta neon,2025-04-29,,38080,38080,VERDE
155PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XIV amarillo neon,2022-04-19,,4130,4130,VERDE
156PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XV azul oscuro,,,1359,,VERDE
157PIG,PIGMENTO,DONGGUAN,1,1,PIGMENTO XVI verde oscuro,2024-11-15,,67707.79540588171,67707.79540588171,VERDE
158PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XVII violeta,,,,,VERDE
159PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XVIII naranja,,,,,VERDE
160PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XIX dorado,,,,,VERDE
161PIG,PIGMENTO,DONGGUAN,1,1,PIGMENTO XX oro,2024-11-15,,157405.3196632939,157405.3196632939,VERDE
162PIG,PIGMENTO,DONGGUAN,1,1,PIGMENTO XXI plata,2024-11-15,,149961.13528593836,149961.13528593836,VERDE
163PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XXII violeta oscuro,,,9060,,VERDE
164PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XXIII salmón neon,,,,,VERDE
165PIG,PIGMENTO,DONGGUAN,1,1,PIGMENTO XXIV verde manzana,,,104137.1668296297,104137.1668296297,VERDE
247PIG,PIGMENTO,ROMANO DANIEL GUILLERMO,1,1,PIGMENTO XXIV blanco mate,2025-01-01,,9114,9114,VERDE
252PIG,PIGMENTO,CALVANO,1,1,PIGMENTO XXXI negro mate,2025-03-11,,8690,8690,VERDE
450PPA,GLITTER,DONGGUAN,1,1,Dazzling Red,,,,246921.98438974377,VERDE
328PIG,PIGMENTO,CALVANO,1,1,PIGMENTO XXV camaleón lila,2025-04-29,,47600,47600,VERDE
329PIG,PIGMENTO,QUIMICA COLOR,1,1,PIGMENTO XXVI cobre anaranjado,,,,,VERDE
330PIG,PIGMENTO,DONGGUAN,1,1,PIGMENTO XXVII cobre rojizo,2024-11-15,,47113.85112510539,47113.85112510539,VERDE
142ETT,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO TAPA,,3.72,2752.8,13.494117647058824,AMARILLO
142ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO I  negro,,3.72,2752.8,13.494117647058824,AMARILLO
143ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO II blanco,,3.72,2752.8,13.494117647058824,AMARILLO
144ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO III rosa,,3.72,2752.8,13.494117647058824,AMARILLO
145ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO IV celeste,,3.72,2752.8,13.494117647058824,AMARILLO
